domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
english,verb-tenses,easy,Which sentence is in the past tense?,"The past tense describes an action that already happened. ""She walked to school"" uses the past-tense verb ""walked.""",,,,1,10,She walks to school.,She walked to school.,She will walk to school.,She is walking to school.
english,verb-tenses,easy,"What is the past tense of ""go""?","""Go"" is irregular; its past tense is ""went.""",,,,2,10,goed,gone,went,going
english,verb-tenses,easy,"What is the past tense of ""eat""?","""Eat"" is irregular; its past tense is ""ate.""",,,,0,10,ate,eated,eaten,eats
english,verb-tenses,easy,Which sentence is in the future tense?,"The future tense often uses ""will."" ""I will call you"" describes an action that has not happened yet.",,,,3,10,I called you.,I call you.,I am calling you.,I will call you.
english,verb-tenses,easy,"What is the present participle (-ing form) of ""run""?","The present participle of ""run"" doubles the final consonant: ""running.""",,,,1,10,runing,running,runned,runs
english,subject-verb-agreement,easy,Which sentence has correct subject-verb agreement?,"A singular subject takes a singular verb. ""The cat sleeps"" matches the singular subject with ""sleeps.""",,,,0,10,The cat sleeps all day.,The cat sleep all day.,The cats sleeps all day.,The cat sleeping all day.
english,subject-verb-agreement,easy,"Choose the correct verb: ""The students ___ studying.""","A plural subject (""students"") takes the plural verb ""are.""",,,,2,10,is,was,are,has
english,subject-verb-agreement,easy,"Choose the correct verb: ""She ___ to music every morning.""","A singular third-person subject (""she"") takes the verb form ending in -s: ""listens.""",,,,1,10,listen,listens,listening,are listening
english,subject-verb-agreement,easy,"Choose the correct verb: ""Each of the boys ___ a turn.""","""Each"" is singular so it takes a singular verb: ""gets.""",,,,0,10,gets,get,getting,are getting
english,pronouns,easy,Which is a possessive pronoun?,"A possessive pronoun shows ownership. ""Theirs"" shows that something belongs to them.",,,,3,10,they,them,they're,theirs
english,pronouns,easy,"Choose the correct pronoun: ""___ are going to the party.""","""We"" is a subject pronoun used to perform the action of the verb.",,,,0,10,We,Us,Our,Ours
english,pronouns,easy,"Choose the correct pronoun: ""Give the book to ___.""","After a preposition like ""to"" use an object pronoun. ""Me"" is the object pronoun.",,,,1,10,I,me,my,mine
english,pronouns,easy,Which sentence uses the reflexive pronoun correctly?,"A reflexive pronoun (himself herself etc.) refers back to the subject. ""He hurt himself"" is correct.",,,,2,10,He hurt hisself.,He hurt his self.,He hurt himself.,He hurt themself.
english,homophones,easy,"Choose the correct word: ""___ going to the store.""","""They're"" is the contraction of ""they are."" ""They're going to the store"" is correct.",,,,0,10,They're,Their,There,Theyre
english,homophones,easy,"Choose the correct word: ""I put the keys over ___.""","""There"" refers to a place or location.",,,,1,10,their,there,they're,theyre
english,homophones,easy,"Choose the correct word: ""The dog wagged ___ tail.""","""Its"" (no apostrophe) is the possessive form showing the tail belongs to the dog.",,,,2,10,it's,its',its,its's
english,homophones,easy,"Choose the correct word: ""___ a beautiful day.""","""It's"" is the contraction of ""it is."" ""It's a beautiful day"" is correct.",,,,0,10,It's,Its,Its',Itts
english,homophones,easy,"Choose the correct word: ""You ___ welcome to join us.""","""Your"" is possessive while ""you're"" means ""you are."" Here ""You're welcome"" needs the contraction.",,,,1,10,your,you're,yore,youre
english,prefixes,easy,"What does the prefix ""un-"" mean in ""unhappy""?","The prefix ""un-"" means ""not."" ""Unhappy"" means ""not happy.""",,,,0,10,Not,Again,Before,Under
english,prefixes,easy,"What does the prefix ""re-"" mean in ""redo""?","The prefix ""re-"" means ""again."" ""Redo"" means to do again.",,,,1,10,Not,Again,Against,After
english,prefixes,easy,"What does the prefix ""pre-"" mean in ""preview""?","The prefix ""pre-"" means ""before."" A ""preview"" is seen before the main event.",,,,2,10,After,Not,Before,Again
english,suffixes,easy,"What does the suffix ""-less"" mean in ""fearless""?","The suffix ""-less"" means ""without."" ""Fearless"" means without fear.",,,,3,10,Full of,More,Again,Without
english,suffixes,easy,"What does the suffix ""-ful"" mean in ""hopeful""?","The suffix ""-ful"" means ""full of."" ""Hopeful"" means full of hope.",,,,0,10,Full of,Without,Before,Not
english,commas,easy,Which sentence uses commas correctly in a list?,"Use a comma to separate three or more items. ""I bought apples, bread, and milk."" is correct.",,,,1,10,I bought apples bread and milk.,"I bought apples, bread, and milk.","I bought, apples bread and milk.","I bought apples, bread and, milk."
