domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
data_query,cte,hard,Which of these is an example of Chained CTEs?,staging then summarising is an example of Chained CTEs.,,,,0,20,staging then summarising,MERGE INTO target USING source,DENSE_RANK() OVER (...),ROW_NUMBER() OVER (ORDER BY x)
data_query,window,hard,Which term means: reads a value from a previous row?,That describes LAG.,,,,3,20,Lateral join,Sargable predicate,UNPIVOT,LAG
data_query,window,hard,Which term means: defines the window a function operates on?,That describes OVER clause.,,,,0,20,OVER clause,Window function,FRAME clause,Running total
data_query,perf,hard,Which of these is an example of Sargable predicate?,WHERE id = 5 not WHERE f(id) = 5 is an example of Sargable predicate.,,,,3,20,a query inside a loop,INSERT ... RETURNING id,ROW_NUMBER() OVER (ORDER BY x),WHERE id = 5 not WHERE f(id) = 5
data_query,logic,hard,Which term means: turning columns into rows?,That describes UNPIVOT.,,,,3,20,MERGE,ROW_NUMBER,OVER clause,UNPIVOT
data_query,window,hard,Which of these is an example of PARTITION BY?,OVER (PARTITION BY dept) is an example of PARTITION BY.,,,,3,20,"GROUP BY ROLLUP (year, month)",DENSE_RANK() OVER (...),walking an org chart,OVER (PARTITION BY dept)
data_query,perf,hard,Which term means: running one query per row instead of a join?,That describes N+1 query problem.,,,,3,20,Materialised CTE,Sargable predicate,UNPIVOT,N+1 query problem
data_query,dml,hard,Which of these is an example of Returning clause?,INSERT ... RETURNING id is an example of Returning clause.,,,,2,20,WHERE id = 5 not WHERE f(id) = 5,"GROUP BY CUBE (a, b)",INSERT ... RETURNING id,SUM(x) OVER (ORDER BY day)
data_query,perf,hard,Which of these is an example of N+1 query problem?,a query inside a loop is an example of N+1 query problem.,,,,2,20,walking an org chart,forcing an index scan,a query inside a loop,LEAD(sales) OVER (ORDER BY day)
data_query,logic,hard,Which of these is an example of UNPIVOT?,month columns into rows is an example of UNPIVOT.,,,,2,20,FIRST_VALUE(price) OVER (...),RANK() OVER (ORDER BY score),month columns into rows,ROW_NUMBER() OVER (ORDER BY x)
data_query,perf,hard,What best describes Sargable predicate?,Sargable predicate - a condition that can use an index.,,,,0,20,a condition that can use an index,turning columns into rows,a CTE whose result is computed once and reused,running one query per row instead of a join
data_query,perf,hard,Which of these is an example of Materialised CTE?,an optimisation fence is an example of Materialised CTE.,,,,0,20,an optimisation fence,"WITH a AS (...), b AS (...)",running totals per row,SUM(x) OVER (ORDER BY day)
data_query,window,hard,Which term means: assigns a unique sequential number per row?,That describes ROW_NUMBER.,,,,3,20,PIVOT,DENSE_RANK,PARTITION BY,ROW_NUMBER
data_query,perf,hard,What best describes Query plan reading?,Query plan reading - interpreting how the engine runs a query.,,,,1,20,returning affected rows from a write,interpreting how the engine runs a query,reads a value from a following row,reads a value from a previous row
data_query,window,hard,What best describes Running total?,Running total - a cumulative sum across ordered rows.,,,,0,20,a cumulative sum across ordered rows,defines the window a function operates on,interpreting how the engine runs a query,guiding the optimiser to use an index
data_query,cte,hard,What best describes WITH clause?,WITH clause - introduces one or more CTEs.,,,,3,20,splits rows into groups for a window function,a condition that can use an index,defines which rows around the current one are included,introduces one or more CTEs
data_query,window,hard,Which of these is an example of ROW_NUMBER?,ROW_NUMBER() OVER (ORDER BY x) is an example of ROW_NUMBER.,,,,1,20,DENSE_RANK() OVER (...),ROW_NUMBER() OVER (ORDER BY x),spotting a sequential scan,SUM(x) OVER (...)
data_query,perf,hard,Which term means: a condition that can use an index?,That describes Sargable predicate.,,,,2,20,Query plan reading,LEAD,Sargable predicate,NTILE
data_query,logic,hard,Which of these is an example of CUBE?,"GROUP BY CUBE (a, b) is an example of CUBE.",,,,1,20,month columns into rows,"GROUP BY CUBE (a, b)",forcing an index scan,SUM(x) OVER (...)
data_query,dml,hard,What best describes UPSERT?,UPSERT - inserting or updating on a key conflict.,,,,3,20,defines which rows around the current one are included,assigns a unique sequential number per row,introduces one or more CTEs,inserting or updating on a key conflict
data_query,window,hard,Which of these is an example of Running total?,SUM(x) OVER (ORDER BY day) is an example of Running total.,,,,0,20,SUM(x) OVER (ORDER BY day),a query inside a loop,NTILE(4) OVER (...),DENSE_RANK() OVER (...)
