domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
spreadsheets,lookup,easy,What does VLOOKUP do?,VLOOKUP searches for a value in the first column of a range and returns a value from another column of the matching row.,,,,1,10,Sorts a table by its first column,Finds a value in the first column and returns a value from the same row,Counts how many times a value appears,Checks whether two columns are identical
spreadsheets,lookup,easy,"In =VLOOKUP(A2, D:F, 3, FALSE), what does the 3 mean?","The third argument is the column index within the lookup range, so 3 means the third column, F.",,,,0,10,Return the value from the third column of the range,Search only the first three rows,Allow three characters of difference when matching,Round the result to three decimal places
spreadsheets,lookup,easy,Why is FALSE the safer final argument for VLOOKUP?,FALSE demands an exact match. TRUE allows an approximate match and quietly returns wrong rows on unsorted data.,,,,2,10,It makes the formula run faster,It allows the lookup column to contain text,It requires an exact match instead of an approximate one,It hides errors when no match is found
spreadsheets,lookup,easy,What is a well-known limitation of VLOOKUP?,"VLOOKUP can only look to the right, because the search column must be the first column of the range.",,,,3,10,It cannot handle more than 100 rows,It only works on numbers,It cannot be copied down a column,It cannot return a value from a column to the left of the search column
spreadsheets,lookup,easy,What advantage does XLOOKUP have over VLOOKUP?,"XLOOKUP takes the search and result ranges separately, so it can look in either direction and does not break when columns move.",,,,0,10,It can return values from columns on either side of the search column,It does not need a search value,It can only be used once per sheet,It automatically sorts the data first
spreadsheets,lookup,easy,What does the INDEX and MATCH combination achieve?,"MATCH finds the position of a value and INDEX returns whatever sits at that position, giving a flexible two-way lookup.",,,,1,10,It merges two tables into one,MATCH finds the row position and INDEX returns the value there,It counts matching values across two ranges,It sorts one column to match another
spreadsheets,functions,easy,"What does =IFERROR(A1/B1, 0) do?","IFERROR returns the first argument normally, but substitutes the second whenever the first produces an error.",,,,2,10,Always returns 0,Returns an error message when the division fails,"Returns the division result, or 0 if it produces an error",Checks whether A1 and B1 are both numbers
spreadsheets,functions,easy,What does =COUNTIFS() add over =COUNTIF()?,COUNTIFS applies several conditions at once and counts only the rows that satisfy all of them.,,,,0,10,It tests several conditions at once,It counts text as well as numbers,It counts across several sheets,It ignores hidden rows
spreadsheets,functions,easy,"What does =SUMIFS(C:C, A:A, ""north"", B:B, "">100"") total?","SUMIFS adds values from the sum range only for rows meeting every condition, here region north and value over 100.",,,,3,10,Every value in column C,The values in C where either condition holds,The count of rows meeting both conditions,The values in C where the region is north and column B exceeds 100
spreadsheets,functions,easy,"What does =AVERAGEIF(A:A, "">0"") calculate?","It averages only the values that satisfy the condition, ignoring the rest.",,,,1,10,The average of every value in column A,The average of the values greater than zero,The count of values greater than zero,The sum of values greater than zero
spreadsheets,logic,easy,"What does =AND(A1>0, B1>0) return?",AND returns TRUE only when every condition it is given is true.,,,,0,10,TRUE only when both conditions hold,TRUE when at least one condition holds,The sum of A1 and B1,The larger of A1 and B1
spreadsheets,logic,easy,"What does =OR(A1=""yes"", B1=""yes"") return?",OR returns TRUE when at least one of its conditions is true.,,,,2,10,TRUE only when both cells say yes,The text yes,TRUE when at least one cell says yes,The number of cells saying yes
spreadsheets,logic,easy,What does nesting IF functions let you do?,Placing an IF inside another IF lets a formula choose between more than two outcomes.,,,,1,10,Repeat a calculation many times,Choose between more than two possible results,Apply a condition to a whole column at once,Hide rows that fail the condition
spreadsheets,logic,easy,What does =NOT(A1>10) return when A1 holds 15?,"A1>10 is TRUE, and NOT reverses it, so the result is FALSE.",,,,3,10,TRUE,15,An error,FALSE
spreadsheets,text,easy,"What does =LEFT(""invoice"", 3) return?",LEFT takes the given number of characters from the start of the text.,,,,0,10,"""inv""","""ice""","""invoice""","""i"""
spreadsheets,text,easy,"What does =RIGHT(""2024-06"", 2) return?","RIGHT takes characters from the end of the text, here the last two.",,,,1,10,"""20""","""06""","""24""","""-0"""
spreadsheets,text,easy,"What does =MID(""abcdef"", 2, 3) return?","MID starts at the given position and takes the given number of characters, so it starts at b and takes three.",,,,2,10,"""abc""","""cde""","""bcd""","""def"""
spreadsheets,text,easy,What does =TRIM() do to a piece of text?,TRIM strips leading and trailing spaces and collapses repeated inner spaces to one.,,,,0,10,"Removes leading, trailing and repeated inner spaces",Shortens the text to a fixed length,Removes all spaces including those between words,Removes punctuation
spreadsheets,text,easy,Why is TRIM useful before comparing two columns of names?,"Invisible trailing spaces make otherwise identical text compare as different, and TRIM removes them.",,,,3,10,It converts the names to the same case,It sorts the names alphabetically,It removes duplicate names,It removes stray spaces that would make identical names look different
spreadsheets,text,easy,"What does the & operator do in =""Mr "" & A1?","The ampersand joins text, so this puts the title in front of whatever A1 holds.",,,,1,10,"Adds A1 to the number of characters in ""Mr """,Joins the text with the contents of A1,Formats A1 as a name,"Compares ""Mr "" with A1"
spreadsheets,references,easy,"When copying =B\$2 down a column, what changes?","The dollar sign locks the row, so the row stays 2 while only the column could shift, which it does not when copying downwards.",,,,2,10,Both the column and the row shift,Only the row shifts,"Nothing, because the locked row 2 keeps the reference on B2",The formula turns into an error
spreadsheets,references,easy,When would you use a mixed reference such as \$B2?,Locking only the column lets a formula fill across and down while always reading from column B.,,,,0,10,When the formula must always read column B but follow the row it is in,When the value should never change,When referring to another workbook,When the reference points at a chart
spreadsheets,references,easy,What is a named range?,A named range gives a meaningful label to a cell or range so formulas can refer to it by name.,,,,1,10,A range that has been sorted,A label given to a cell or range so formulas can use the name,A range copied to a second sheet,A range protected against editing
spreadsheets,data,easy,What does Remove Duplicates do to a selected range?,"It deletes rows whose selected columns repeat an earlier row, keeping the first occurrence.",,,,3,10,Highlights the duplicate rows,Moves duplicates to a new sheet,Counts how many duplicates exist,"Deletes repeated rows, keeping the first of each"
spreadsheets,data,easy,What does Text to Columns do?,It splits one column into several by breaking each value at a chosen delimiter such as a comma.,,,,0,10,Splits one column into several at a chosen separator,Converts numbers into text,Joins several columns into one,Renames the column headers
spreadsheets,data,easy,What does data validation on a cell do?,"It restricts what may be entered, for example to a list of allowed values or a numeric range.",,,,2,10,Checks formulas for errors,Highlights cells that differ from their neighbours,Restricts what values may be entered,Locks the cell permanently
spreadsheets,data,easy,Why is a drop-down list built with data validation useful for a data-entry column?,"It restricts entries to an agreed set of values, which prevents typos and inconsistent spellings.",,,,1,10,It makes the column sort faster,It prevents typos and inconsistent spellings,It compresses the file,It hides the column from other users
spreadsheets,charts,easy,Which chart type is best for comparing a value across a handful of categories?,A bar or column chart makes category comparisons easy to read.,,,,0,10,A bar or column chart,A pie chart,A scatter plot,A line chart
