domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
accounting,accounting-equation,beginner,What is the basic accounting equation?,The accounting equation Assets = Liabilities + Equity is the foundation of double-entry bookkeeping. Every transaction keeps this equation in balance.,,,,0,5,Assets = Liabilities + Equity,Revenue - Expenses = Net Income,Assets + Liabilities = Equity,Debits = Credits
accounting,debits-credits,beginner,A debit entry increases which type of account?,Debits increase asset and expense accounts and decrease liability and equity accounts. This is a fundamental rule of double-entry bookkeeping.,,,,0,5,Assets,Liabilities,Revenue,Equity
accounting,gaap-principles,beginner,What does GAAP stand for?,GAAP stands for Generally Accepted Accounting Principles. These are the standard rules and guidelines that U.S. companies must follow when preparing financial statements.,,,,1,5,Global Accounting and Audit Procedures,Generally Accepted Accounting Principles,Governmental Accounting and Audit Practices,General Accounts and Asset Principles
accounting,financial-statements,beginner,Which financial statement shows a company's financial position at a specific point in time?,"The balance sheet shows assets, liabilities, and equity at a single date. The income statement and cash flow statement cover a period of time.",,,,1,5,Income Statement,Balance Sheet,Cash Flow Statement,Statement of Retained Earnings
accounting,debits-credits,beginner,A credit entry increases which type of account?,"Credits increase liability, equity, and revenue accounts. Credits decrease asset and expense accounts.",,,,2,5,Assets,Expenses,Revenue,None of the above
accounting,balance-sheet,beginner,Which of the following is a current asset?,Current assets are expected to be converted to cash within one year. Accounts receivable is a current asset. Land and equipment are long-term assets.,,,,3,5,Land,Building,Equipment,Accounts Receivable
accounting,accounting-equation,beginner,If a company has assets of \$100000 and liabilities of \$60000 what is owners equity?,Assets = Liabilities + Equity so Equity = Assets - Liabilities = \$100000 - \$60000 = \$40000.,Assets = Liabilities + Equity,,,2,5,\$160000,\$60000,\$40000,\$100000
accounting,income-statement,beginner,Which of the following appears on the income statement?,The income statement reports revenues and expenses over a period. Accounts payable and cash are balance sheet items. Retained earnings is an equity account.,,,,0,5,Revenue,Accounts Payable,Cash,Retained Earnings
accounting,debits-credits,beginner,What type of account is Accounts Payable?,Accounts Payable represents money owed to suppliers. It is a liability because it is an obligation the company must pay in the future.,,,,1,5,Asset,Liability,Equity,Revenue
accounting,gaap-principles,beginner,The principle that states revenue should be recorded when earned is called?,The revenue recognition principle states that revenue is recorded when it is earned - not necessarily when cash is received. This is a core component of accrual-basis accounting.,,,,3,5,Matching Principle,Cost Principle,Consistency Principle,Revenue Recognition Principle
accounting,financial-statements,beginner,Which financial statement reports revenues and expenses?,The income statement reports all revenues earned and expenses incurred during an accounting period - resulting in net income or net loss.,,,,0,5,Income Statement,Balance Sheet,Cash Flow Statement,Statement of Changes in Equity
accounting,balance-sheet,beginner,Which of the following is a long-term liability?,"Bonds payable are long-term obligations due beyond one year. Accounts payable, salaries payable, and unearned revenue are typically current liabilities.",,,,2,5,Accounts Payable,Salaries Payable,Bonds Payable,Unearned Revenue
accounting,debits-credits,beginner,To record a cash sale you would debit which account?,When recording a cash sale you debit Cash (an asset - it increases) and credit Revenue. Debits increase assets.,,,,1,5,Revenue,Cash,Accounts Receivable,Sales Returns
accounting,accounting-equation,beginner,Which of the following would increase total assets?,Borrowing money from a bank increases Cash (asset) and Notes Payable (liability) - so total assets increase. Paying off debt reduces both assets and liabilities.,,,,0,5,Borrowing money from the bank,Paying off a loan,Declaring a dividend,Paying an expense
accounting,gaap-principles,beginner,The going concern assumption means that?,The going concern assumption holds that a business will continue to operate for the foreseeable future. This justifies recording long-term assets at cost rather than liquidation value.,,,,3,5,The company must earn a profit,The company will pay all debts immediately,The company is about to close,The company will continue operating in the future
accounting,financial-statements,beginner,Net income from the income statement flows into which other financial statement?,Net income increases retained earnings which is reported on the statement of retained earnings and on the balance sheet under equity.,,,,1,5,Cash Flow Statement,Statement of Retained Earnings,Notes to Financial Statements,Balance Sheet Assets Section
accounting,debits-credits,beginner,Which of the following is an example of an expense account?,Wages Expense is an expense account that increases with a debit. Cash and Prepaid Insurance are asset accounts. Common Stock is an equity account.,,,,2,5,Cash,Prepaid Insurance,Wages Expense,Common Stock
accounting,balance-sheet,beginner,Assets on a balance sheet are listed in order of?,"Assets are listed in order of liquidity - how quickly they can be converted to cash. Cash is listed first followed by accounts receivable, inventory, and then long-term assets.",,,,0,5,Liquidity,Alphabetical order,Dollar amount (largest first),Date acquired
accounting,accounting-equation,beginner,Owner investments into a business increase which two elements of the accounting equation?,When an owner invests cash into a business - assets (cash) increase and equity increases. Liabilities are not affected.,,,,3,5,Assets and Liabilities,Liabilities and Equity,Revenue and Expenses,Assets and Equity
accounting,income-statement,beginner,Gross profit is calculated as?,Gross profit equals net sales minus cost of goods sold. It measures profitability before operating expenses.,,,,1,5,Net Income - Operating Expenses,Net Sales - Cost of Goods Sold,Total Revenue - Total Expenses,Sales - Salaries Expense
accounting,journal-entries,beginner,What is a journal entry?,A journal entry is the recording of a business transaction using the double-entry system. Every entry has at least one debit and one credit that must equal each other.,,,,2,5,A report sent to customers,A summary of monthly sales,A record of a transaction with debits and credits,A list of all accounts in the ledger
accounting,gaap-principles,beginner,The cost principle states that assets should be recorded at?,The cost principle requires that assets be recorded at their original purchase price - not current market value. This provides objectivity and verifiability.,,,,0,5,Original purchase price,Current market value,Replacement cost,Appraised value
accounting,cash-vs-accrual,beginner,Under cash basis accounting revenue is recorded when?,Under cash basis accounting revenue is recognized only when cash is actually received - not when the service is performed. This differs from accrual accounting.,,,,3,5,The service is performed,An invoice is sent,The contract is signed,Cash is received
