domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
cybersecurity,threat,medium,What is threat modelling?,"A structured look at what you are protecting, who might attack it, how, and which of those paths are worth defending first.",,,,0,15,"Structured analysis of what you protect, who might attack it, and how",Simulating an attack against production systems,Ranking employees by security awareness,Cataloguing every piece of software in use
cybersecurity,threat,medium,Why is a defined attack surface a useful concept?,"It names every point where an untrusted party can interact with the system, which is where defences and review must concentrate.",,,,1,15,It counts how many attacks have occurred,"It names every point an untrusted party can interact with, focusing defence",It measures how much data could be lost,It lists the tools an attacker would need
cybersecurity,threat,medium,What does defence in depth mean?,"Multiple independent layers of control, so the failure of any single one does not lead straight to compromise.",,,,2,15,Investing everything in the strongest possible perimeter,Encrypting data several times over,Layering independent controls so no single failure is decisive,Keeping detailed records of every incident
cybersecurity,threat,medium,What is the principle behind assuming breach?,"Design as though an attacker is already inside, which shifts effort toward limiting movement and detecting activity rather than only keeping people out.",,,,0,15,"Design as though an attacker is already inside, and limit and detect accordingly",Notify customers before any breach is confirmed,Treat every employee as a suspect,Replace prevention entirely with insurance
cybersecurity,zerotrust,medium,What is the central idea of zero trust?,Nothing is trusted purely because of where it sits on the network; every request is authenticated and authorised on its own merits.,,,,1,15,No employee is given any access without approval,Network location grants no trust; every request is verified on its own merits,All external traffic is blocked by default,Passwords are replaced entirely by biometrics
cybersecurity,zerotrust,medium,Why is the traditional trusted internal network model considered inadequate now?,"Once the perimeter is crossed, a flat trusted interior lets an intruder move freely, and remote work and cloud have dissolved the perimeter anyway.",,,,0,15,"A crossed perimeter leaves a freely traversable interior, and the perimeter has dissolved",Internal networks are slower than cloud services,Firewalls are no longer manufactured,Internal traffic cannot be encrypted
cybersecurity,lateral,medium,What is lateral movement?,"After gaining an initial foothold, an attacker moves from system to system toward more valuable targets.",,,,2,15,Copying data between two directories,Moving a service between data centres,Moving from an initial foothold toward more valuable systems,Rotating credentials across an organisation
cybersecurity,lateral,medium,Why does reusing the same local administrator password across machines aid lateral movement?,One compromised machine hands the attacker credentials that work everywhere else with the same password.,,,,0,15,Compromising one machine yields credentials that work on all the others,It makes the password easier to guess,It prevents logging from working,It disables the local firewall
cybersecurity,lateral,medium,What is privilege escalation?,"Gaining rights beyond those originally held, moving from a limited account toward administrative control.",,,,1,15,Requesting extra access through a formal process,Gaining rights beyond those originally held,Being promoted to an administrative role,Increasing the priority of a running process
cybersecurity,vulnerability,medium,What is a zero-day vulnerability?,"A flaw being exploited before the vendor has released a fix, so patching is not yet an available defence.",,,,3,15,A flaw discovered on the day software is released,A flaw that is fixed within one day,A flaw that affects only one customer,A flaw exploited before any fix exists
cybersecurity,vulnerability,medium,"What is the value of a CVSS score, and its main limitation?","It gives a comparable severity rating, but it says nothing about whether that flaw matters in your specific environment.",,,,0,15,"It gives comparable severity, but ignores whether the flaw matters in your context",It measures how long a fix will take,It counts how many systems are affected,It states whether an exploit exists
cybersecurity,vulnerability,medium,Why should patching be prioritised by exploitability and exposure rather than severity alone?,A medium-severity flaw on an internet-facing system with a public exploit is more urgent than a critical one on an isolated machine.,,,,1,15,Because severity scores are usually wrong,Because a lower-severity flaw that is exposed and exploitable can be the greater real risk,Because critical patches take longer to install,Because exposure cannot be measured
cybersecurity,vulnerability,medium,What is responsible disclosure?,A researcher reports a flaw privately and allows time for a fix before publishing details.,,,,2,15,Publishing a flaw immediately so users can react,Reporting a flaw only to a regulator,Reporting privately and allowing time for a fix before publishing,Selling the flaw to the highest bidder
