domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
machine_learning,bias-variance,medium,What does the bias-variance trade-off describe?,Simple models err by being systematically wrong (bias); flexible ones err by being over-sensitive to the training sample (variance). Reducing one tends to raise the other.,,,,0,15,The tension between being systematically wrong and being over-sensitive to the sample,The trade-off between training time and accuracy,The trade-off between the number of rows and columns,The difference between training and test set sizes
machine_learning,bias-variance,medium,A model gives very different results each time it is trained on a different sample. What does that indicate?,"Sensitivity to the particular training sample is high variance, the signature of an overly flexible model.",,,,1,15,High bias,High variance,Data leakage,Class imbalance
machine_learning,bias-variance,medium,How does increasing model complexity usually affect bias and variance?,"More flexibility lets the model fit the true shape better, lowering bias, but makes it track the sample more closely, raising variance.",,,,2,15,Both rise,Both fall,Bias falls and variance rises,Bias rises and variance falls
machine_learning,bias-variance,medium,How does gathering more training data typically affect variance?,"More data makes the training sample more representative, so the fitted model varies less from sample to sample.",,,,0,15,It reduces variance,It increases variance,It has no effect on variance,It removes bias entirely
machine_learning,evaluation,medium,Why can accuracy be actively misleading on a dataset that is 98 percent negative?,A model predicting negative every time scores 98 percent while identifying none of the cases of interest.,,,,1,15,Because accuracy cannot be computed on imbalanced data,Because always predicting the majority class scores 98 percent while finding nothing,Because accuracy only applies to regression,Because the test set will contain no positives
machine_learning,evaluation,medium,When is precision-recall generally more informative than a ROC curve?,"With a heavily imbalanced positive class, the large number of true negatives flatters the false positive rate, so ROC looks better than the model is.",,,,0,15,"When the positive class is rare, since ROC is flattered by many true negatives",When the classes are perfectly balanced,When the model is a regressor,When the test set is very large
machine_learning,evaluation,medium,What does an AUC of 0.5 tell you about a classifier?,It ranks positives above negatives no better than chance.,,,,2,15,It is perfectly accurate,It is perfectly wrong,It performs no better than random guessing,It has not finished training
machine_learning,evaluation,medium,What is model calibration?,"A calibrated model outputs probabilities that match reality: among cases it rates at 0.7, about 70 percent should be positive.",,,,0,15,Its predicted probabilities match the real frequencies,Its accuracy matches its recall,Its training and test scores are equal,Its features are all on the same scale
machine_learning,evaluation,medium,Why can a highly accurate model still be poorly calibrated?,"Ranking cases correctly is a different property from stating the right probability, so a model can order well but be systematically over-confident.",,,,3,15,Because accuracy is measured on the training set,Because calibration only applies to regression,Because accuracy always exceeds calibration,Because ordering cases correctly is separate from stating the right probability
machine_learning,validation,medium,Why is a random split wrong for time series data?,"Random splitting lets the model train on the future and predict the past, which cannot happen in practice and inflates the score.",,,,0,15,It lets the model train on future data and predict the past,Time series data cannot be split at all,It always produces uneven split sizes,It removes the seasonal pattern
machine_learning,validation,medium,How should time series data be split instead?,"Split by time, training on earlier periods and validating on later ones, mirroring how the model will be used.",,,,1,15,Alternate rows between train and test,Train on earlier periods and validate on later ones,Sort by the target and split in half,Use every third row for testing
machine_learning,validation,medium,A dataset has several rows per patient. Why is a plain random split a problem?,"Rows from the same patient can land in both parts, so the model recognises the patient rather than learning the condition.",,,,2,15,It makes the split sizes unequal,It removes patients with few rows,"Rows from one patient land on both sides, so the model recognises the patient",Patient identifiers cannot be used as features
machine_learning,validation,medium,What does grouped cross-validation ensure?,"All rows sharing a group, such as one patient or one customer, stay entirely within one fold.",,,,0,15,All rows of a group stay within a single fold,Each fold has the same number of rows,Each fold contains every class equally,Groups are removed before validation
machine_learning,tuning,medium,What is the risk of tuning many hyperparameters against the same validation set?,"Repeated selection fits the model to that particular split, so the validation score becomes optimistic and stops predicting real performance.",,,,1,15,Training becomes prohibitively slow,The score becomes optimistic because the choices are fitted to that split,The model can no longer be retrained,The validation set shrinks each time
