domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
english,parts-of-speech,beginner,What part of speech is the word "dog"?,A noun is a word that names a person place thing or idea. "Dog" names a thing so it is a noun.,,,,0,5,Noun,Verb,Adjective,Adverb
english,parts-of-speech,beginner,"In the sentence ""She runs fast"" what part of speech is ""runs""?",A verb is a word that shows an action or state of being. "Runs" is an action so it is a verb.,,,,1,5,Noun,Verb,Adjective,Pronoun
english,parts-of-speech,beginner,"In the phrase ""a happy child"" what part of speech is ""happy""?",An adjective describes or modifies a noun. "Happy" describes the child so it is an adjective.,,,,2,5,Noun,Verb,Adjective,Adverb
english,parts-of-speech,beginner,Which word is a pronoun?,A pronoun takes the place of a noun. "She" replaces a person's name so it is a pronoun.,,,,3,5,Table,Quickly,Bright,She
english,parts-of-speech,beginner,"In ""He sang loudly"" what part of speech is ""loudly""?",An adverb modifies a verb adjective or another adverb and often ends in -ly. "Loudly" tells how he sang.,,,,1,5,Adjective,Adverb,Noun,Pronoun
english,parts-of-speech,beginner,Which word is a verb?,A verb shows action or being. "Jump" is an action word so it is a verb.,,,,2,5,Blue,Slowly,Jump,Happy
english,parts-of-speech,beginner,Which of these words is a noun?,A noun names a person place thing or idea. "Teacher" names a person so it is a noun.,,,,0,5,Teacher,Write,Tall,Gently
english,parts-of-speech,beginner,"What part of speech connects words like ""and"" ""but"" and ""or""?",A conjunction joins words phrases or clauses. "And" "but" and "or" are common conjunctions.,,,,3,5,Noun,Adjective,Adverb,Conjunction
english,articles,beginner,"Which article is used before a word that begins with a consonant sound such as ""book""?","Use ""a"" before words that begin with a consonant sound. We say ""a book.""",,,,0,5,a,an,the only,no article
english,articles,beginner,"Which article correctly fills the blank: ""I ate ___ apple""?","Use ""an"" before a word that begins with a vowel sound. ""Apple"" begins with a vowel sound so we say ""an apple.""",,,,1,5,a,an,no article,this
english,capitalization,beginner,Which word should always be capitalized?,Proper nouns naming specific people places or things are always capitalized. "London" is a city name.,,,,2,5,dog,happy,London,run
english,capitalization,beginner,What is the first letter of a sentence always?,The first word of every sentence begins with a capital letter.,,,,0,5,A capital letter,A lowercase letter,A number,A punctuation mark
english,capitalization,beginner,"Which is written correctly?","The pronoun ""I"" is always capitalized no matter where it appears in a sentence.",,,,1,5,my friend and i went home,My friend and I went home,my friend and I went home,My friend and i went home
english,punctuation,beginner,What punctuation mark ends a statement?,A period (.) ends a declarative sentence or statement.,,,,0,5,Period,Question mark,Exclamation point,Comma
