domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
management,management-functions,beginner,What are the four classic functions of management?,"The four functions are Planning, Organizing, Leading, and Controlling - often remembered as POLC. These form the foundation of management theory.",,,,0,5,"Planning, Organizing, Leading, Controlling","Hiring, Training, Motivating, Evaluating","Budgeting, Staffing, Directing, Auditing","Forecasting, Scheduling, Delegating, Reporting"
management,management-functions,beginner,Which function of management involves setting goals and deciding how to achieve them?,Planning is the process of defining objectives and determining the best course of action to reach them. It is the first and foundational management function.,,,,0,5,Planning,Organizing,Controlling,Leading
management,management-functions,beginner,Which management function involves monitoring performance and taking corrective action?,Controlling is the function where managers measure actual performance against planned targets and make adjustments when necessary.,,,,3,5,Planning,Organizing,Leading,Controlling
management,management-functions,beginner,Which management function involves arranging resources and tasks to meet organizational goals?,Organizing involves grouping tasks assigning duties and allocating resources so the plan can be carried out effectively.,,,,1,5,Planning,Organizing,Leading,Controlling
management,management-functions,beginner,What is the primary focus of the leading function of management?,Leading focuses on influencing and motivating people to work toward organizational goals. It involves communication leadership and motivation.,,,,2,5,Setting annual budgets,Assigning job duties,Inspiring employees to achieve goals,Measuring outcomes against targets
management,planning,beginner,What does SWOT stand for in strategic analysis?,"SWOT stands for Strengths, Weaknesses, Opportunities, and Threats. It is a framework used to evaluate internal and external factors affecting an organization.",SWOT,,,1,5,"Skills, Work, Output, Targets","Strengths, Weaknesses, Opportunities, Threats","Strategy, Workforce, Operations, Tactics","Systems, Workflows, Objectives, Timelines"
management,planning,beginner,A plan that covers a period of more than five years is best described as which type?,Long-range plans (also called strategic plans) typically span five or more years and set the broad organizational direction.,,,,2,5,Operational plan,Tactical plan,Long-range plan,Single-use plan
management,planning,beginner,What type of plan is created for a specific one-time project or event?,A single-use plan is developed for a unique situation that is not expected to repeat such as launching a new product or opening a new office.,,,,2,5,Standing plan,Policy,Single-use plan,Strategic plan
management,planning,beginner,A rule or guideline that helps employees handle recurring situations is known as what?,Policies and procedures are standing plans that guide employee behavior in recurring situations so managers do not need to make fresh decisions each time.,,,,1,5,Single-use plan,Standing plan,Budget,Mission statement
management,planning,beginner,What is the term for a specific measurable outcome that a plan is designed to achieve?,Objectives (or goals) are specific measurable outcomes that define what an organization or unit is trying to accomplish within a set timeframe.,,,,0,5,Objective,Policy,Budget,Mission
management,leadership-styles,beginner,Which leadership style involves the leader making all decisions without input from the team?,Autocratic leadership is characterized by centralized decision-making where the leader retains full control and does not seek input from subordinates.,,,,2,5,Democratic,Laissez-faire,Autocratic,Transformational
management,leadership-styles,beginner,Which leadership style allows team members the greatest freedom to make their own decisions?,Laissez-faire (hands-off) leadership gives employees the greatest autonomy. The leader provides little direction and lets the team manage themselves.,,,,1,5,Autocratic,Laissez-faire,Democratic,Transactional
management,leadership-styles,beginner,Which leadership style involves the leader sharing decision-making authority with the group?,Democratic (participative) leadership involves the leader consulting team members gathering input and sharing decision-making authority.,,,,0,5,Democratic,Autocratic,Laissez-faire,Bureaucratic
management,leadership-styles,beginner,A manager who leads by setting a personal example and inspiring a shared vision demonstrates which style?,Transformational leaders inspire followers by articulating a compelling vision and modeling the behavior they expect. They motivate change and innovation.,,,,3,5,Transactional,Autocratic,Laissez-faire,Transformational
management,leadership-styles,beginner,A leader who exchanges rewards for performance and focuses on routine tasks is called what?,Transactional leaders motivate followers through a system of rewards and punishments tied to performance. They maintain the status quo rather than driving change.,,,,0,5,Transactional,Transformational,Democratic,Servant
management,motivation,beginner,Who developed the Hierarchy of Needs theory of motivation?,Abraham Maslow proposed the Hierarchy of Needs in 1943. He argued that human needs form a pyramid with physiological needs at the base and self-actualization at the top.,Maslow,,,0,5,Abraham Maslow,Frederick Herzberg,Douglas McGregor,Victor Vroom
management,motivation,beginner,In Maslow's Hierarchy of Needs which level sits at the base of the pyramid?,Physiological needs such as food water shelter and sleep are the most basic needs and must be satisfied before higher-level needs become motivating.,,,,2,5,Esteem needs,Safety needs,Physiological needs,Self-actualization
management,motivation,beginner,What is the highest level in Maslow's Hierarchy of Needs?,Self-actualization represents the desire to reach one's full potential. It sits at the top of Maslow's pyramid and is only pursued once lower needs are met.,Maslow,,,3,5,Esteem,Safety,Belonging,Self-actualization
management,motivation,beginner,Douglas McGregor proposed two contrasting views of workers known as what?,McGregor's Theory X assumes workers are lazy and need control while Theory Y assumes workers are self-motivated and seek responsibility.,McGregor,,,1,5,"Theory A and Theory B","Theory X and Theory Y","Theory 1 and Theory 2","Push theory and Pull theory"
management,motivation,beginner,Theory X managers assume employees are primarily motivated by what?,Theory X assumes workers are inherently lazy avoid responsibility and must be coerced or controlled to perform their duties.,McGregor,,,0,5,Fear of punishment and close supervision,Intrinsic satisfaction from their work,Opportunities for self-actualization,Social bonds with coworkers
management,motivation,beginner,What term describes Herzberg's factors that prevent dissatisfaction but do not create motivation?,Herzberg called factors like salary working conditions and company policy hygiene factors. Their absence causes dissatisfaction but their presence alone does not motivate.,Herzberg,,,2,5,Motivators,Enrichers,Hygiene factors,Esteem factors
management,motivation,beginner,What term does Herzberg use for factors that genuinely drive employee motivation?,Herzberg called factors like achievement recognition and responsibility motivators. These factors actively drive higher performance and job satisfaction.,Herzberg,,,1,5,Hygiene factors,Motivators,Maintenance factors,Baseline factors
management,org-structure,beginner,What does the term span of control refer to in management?,Span of control is the number of subordinates a manager directly supervises. A wide span means many direct reports; a narrow span means few.,,,,0,5,Number of subordinates a manager directly supervises,Number of management levels in an organization,Number of departments in a company,Range of authority a manager holds
management,org-structure,beginner,An organization with few levels of management between the top and the front line is called what?,A flat organization has few hierarchical levels and a wide span of control. It encourages faster communication and greater employee autonomy.,,,,3,5,Tall organization,Matrix organization,Divisional organization,Flat organization
management,org-structure,beginner,An organizational chart primarily illustrates which aspect of a business?,An organizational chart shows the formal reporting relationships authority lines and departmental structure within an organization.,,,,1,5,Financial performance,Formal reporting relationships and hierarchy,Company strategy,Employee skill sets
management,org-structure,beginner,What is the term for the formal right to give orders and expect them to be carried out?,Authority is the formal right granted by an organization to a manager to make decisions give orders and expect compliance from subordinates.,,,,2,5,Responsibility,Accountability,Authority,Power
management,delegation,beginner,What does delegation mean in a management context?,Delegation is the process by which a manager assigns tasks and authority to a subordinate while retaining ultimate accountability for the outcome.,,,,0,5,Assigning tasks and authority to a subordinate,Centralizing decisions at the top of the hierarchy,Eliminating a management layer,Outsourcing work to an external contractor
management,delegation,beginner,When a manager delegates a task they transfer which two things to the subordinate?,"When delegating, a manager transfers both the task and the authority needed to complete it, but accountability remains with the original manager.,,,,1,5,Responsibility and accountability","Task and authority",Power and control,Salary and title"
management,decision-making,beginner,What is the first step in the rational decision-making model?,The rational model begins with identifying the problem or opportunity that requires a decision. You cannot solve a problem you have not clearly defined.,,,,1,5,Evaluate alternatives,Identify the problem,Select the best alternative,Implement the decision
management,decision-making,beginner,A decision that follows a set routine or procedure for a recurring situation is known as what?,Programmed decisions are made using established rules or procedures for repetitive situations. An example is reordering stock when inventory falls below a set level.,,,,0,5,Programmed decision,Non-programmed decision,Strategic decision,Intuitive decision
management,communication,beginner,In the communication process what is the term for anything that distorts or blocks a message?,Noise refers to any interference that disrupts the communication process and prevents the receiver from accurately understanding the sender's message.,,,,2,5,Feedback,Encoding,Noise,Channel
management,communication,beginner,What type of communication flows from employees up to managers?,Upward communication travels from subordinates to superiors. Examples include progress reports complaints suggestions and performance feedback.,,,,1,5,Downward communication,Upward communication,Horizontal communication,Diagonal communication
management,communication,beginner,Which communication network carries informal messages not sanctioned by management?,The grapevine is the informal communication network in an organization. It carries rumors and unofficial information rapidly but may be inaccurate.,,,,3,5,Formal channel,Memo,Bulletin board,Grapevine
management,hrm,beginner,What is the process of attracting and shortlisting candidates to fill job vacancies called?,Recruitment is the process of identifying attracting and shortlisting candidates for job openings. Selection is the subsequent step of choosing among shortlisted candidates.,,,,0,5,Recruitment,Appraisal,Induction,Training
management,hrm,beginner,What term describes the process of introducing a new employee to the organization and their role?,Induction (or onboarding) is the process of introducing new employees to the organization its culture policies and their specific duties.,,,,2,5,Recruitment,Selection,Induction,Appraisal
management,hrm,beginner,What is the primary purpose of a job description?,A job description outlines the duties responsibilities requirements and reporting relationships of a specific position helping candidates and managers understand the role.,,,,1,5,To evaluate employee performance,To outline duties and requirements of a position,To set the pay grade for a job,To schedule employee shifts
management,operations,beginner,What does the term just-in-time (JIT) inventory management mean?,JIT is an inventory strategy where materials arrive exactly when needed for production minimizing storage costs and waste. It was popularized by Toyota.,,,,3,5,Storing large amounts of stock in advance,Ordering inventory only after a product is sold,Producing goods only after a custom order is placed,Receiving materials exactly when they are needed for production
management,operations,beginner,What is the primary purpose of quality control in operations management?,Quality control ensures that products or services meet defined standards before reaching the customer reducing defects returns and reputational damage.,,,,0,5,Ensuring products meet defined standards,Increasing production speed,Reducing the workforce,Expanding product variety
management,project-management,beginner,What does the acronym SMART stand for in goal-setting?,"SMART goals are Specific, Measurable, Achievable, Relevant, and Time-bound. The framework helps ensure objectives are clear and attainable.",SMART,,,2,5,"Simple, Measurable, Accurate, Realistic, Timed","Strategic, Managed, Aligned, Resourced, Tracked","Specific, Measurable, Achievable, Relevant, Time-bound","Structured, Motivated, Assigned, Reviewed, Targeted"
management,project-management,beginner,What is a Gantt chart used for in project management?,A Gantt chart is a visual bar chart that shows project tasks against a timeline helping managers schedule activities and track overall progress.,,,,1,5,Measuring employee satisfaction,Scheduling and tracking project tasks over time,Calculating project costs,Mapping an organization's hierarchy
management,strategy,beginner,What does the letter O represent in SWOT analysis?,"SWOT stands for Strengths, Weaknesses, Opportunities, and Threats. Opportunities are external factors that the organization could exploit to its advantage.",SWOT,,,3,5,Operations,Objectives,Outcomes,Opportunities
management,strategy,beginner,Which of Porter's Five Forces describes the threat that customers will switch to alternative products?,The threat of substitutes reflects the risk that customers will use alternative products or services from outside the industry reducing overall demand.,Porter,,,2,5,Bargaining power of suppliers,Rivalry among existing competitors,Threat of substitutes,Threat of new entrants
