domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
data_system,consensus,expert,What best describes Raft?,Raft - a consensus algorithm using an elected leader and log.,,,,1,30,a structure that merges replicas without conflict,a consensus algorithm using an elected leader and log,filtering data as early as possible in execution,removing stale entries when data changes
data_system,scaling,expert,Which of these is an example of Consistent hashing?,a hash ring is an example of Consistent hashing.,,,,2,30,filtering at the scan,a Parquet file,a hash ring,merging SSTables
data_system,consensus,expert,Which of these is an example of Conflict-free replicated data type?,a CRDT counter is an example of Conflict-free replicated data type.,,,,3,30,a nightly aggregation job,a bigger server,undoing earlier steps on failure,a CRDT counter
data_system,processing,expert,Which of these is an example of Stream processing?,real-time clickstream is an example of Stream processing.,,,,3,30,evicting an updated key,a nightly aggregation job,merging SSTables,real-time clickstream
data_system,processing,expert,Which term means: an operation giving the same result if repeated?,That describes Idempotency.,,,,0,30,Idempotency,Compaction,Cache invalidation,B-tree
data_system,processing,expert,Which of these is an example of Backpressure?,throttling a fast source is an example of Backpressure.,,,,3,30,a hash ring,hub-and-satellite modelling,a CRDT counter,throttling a fast source
data_system,storage,expert,"Which term means: moving cold data to cheaper, slower media?",That describes Tiered storage.,,,,0,30,Tiered storage,Schema evolution,Read-through cache,Cache invalidation
data_system,processing,expert,What best describes Idempotency?,Idempotency - an operation giving the same result if repeated.,,,,0,30,an operation giving the same result if repeated,"rows with flexible, sparse column families",processing events continuously as they arrive,adding power to a single machine
data_system,storage,expert,What best describes Row store?,Row store - storing whole rows together for transactional access.,,,,1,30,tracking causal ordering of events across nodes,storing whole rows together for transactional access,removing stale entries when data changes,a write-optimised structure flushing memory to sorted files
data_system,scaling,expert,What best describes Write-back cache?,Write-back cache - a cache that defers writes to the database.,,,,2,30,processing data in large scheduled chunks,storing whole rows together for transactional access,a cache that defers writes to the database,removing stale entries when data changes
data_system,processing,expert,What best describes Schema evolution?,Schema evolution - changing data schemas without breaking readers.,,,,2,30,"rows with flexible, sparse column families",a marker of event-time progress in a stream,changing data schemas without breaking readers,a consensus algorithm using an elected leader and log
data_system,processing,expert,Which term means: processing data in large scheduled chunks?,That describes Batch processing.,,,,2,30,Saga,Raft,Batch processing,B-tree
