domain,subdomain,difficulty,description,explanation,hint,calculator,verified,correct,point,choice0,choice1,choice2,choice3
marketing,ansoff-matrix,medium,A company uses the same product to enter a new geographic market. This is an example of which Ansoff strategy?,Market development involves selling existing products to new markets (new geographic areas or new customer segments) without changing the product itself.,,,,2,15,Market penetration,Product development,Market development,Diversification
marketing,pricing-strategy,medium,A firm has fixed costs of \$50000 and a contribution margin of \$25 per unit. What is the break-even quantity?,Break-even quantity = Fixed Costs / Contribution Margin per unit = \$50000 / \$25 = 2000 units.,,,,1,15,1000 units,2000 units,2500 units,5000 units
marketing,competitive-analysis,medium,"Porter's Five Forces model includes the threat of new entrants, bargaining power of suppliers, bargaining power of buyers, threat of substitutes, and which fifth force?",The fifth force is industry rivalry - the intensity of competition among existing competitors in the market.,,,,3,15,Technological disruption,Government regulation,Economic conditions,Intensity of rivalry among existing competitors
marketing,segmentation,medium,A company discovers that its most profitable 20% of customers account for 80% of revenue. It then tailors a premium loyalty program for this group. Which marketing concept does this reflect?,The 80/20 rule (Pareto Principle) states that roughly 80% of effects come from 20% of causes. In marketing this means a small share of customers often drives most revenue.,,,,0,15,The Pareto Principle (80/20 rule),Customer lifetime value calculation,Niche market targeting,Mass marketing strategy
marketing,branding,medium,"A company's smartphone brand is highly trusted, so it uses the same brand name on a new line of laptops. Sales benefit immediately from the brand's reputation. This is called:",Brand extension leverages an established brand's equity to launch in a new product category - reducing consumer uncertainty and marketing costs.,,,,1,15,Line extension,Brand extension,Co-branding,Brand licensing
marketing,digital-marketing,medium,A company's email campaign achieves a 2% conversion rate from 50000 emails sent. How many conversions did it generate?,Conversions = Total emails sent x Conversion rate = 50000 x 0.02 = 1000 conversions.,,,,2,15,500,250,1000,2500
marketing,consumer-behavior,medium,A consumer sees a luxury watch ad and feels it represents success and status. This attitude then leads to a desire to purchase the watch. This sequence (cognition - affect - behavior) is known as:,The hierarchy of effects (or CAB model) describes the sequence: Cognitive (thinking/knowledge) - Affective (feelings/attitude) - Behavioral (action/purchase).,,,,3,15,The buying process model,Maslow's motivation sequence,The diffusion of innovation curve,The hierarchy of effects (Cognitive-Affective-Behavioral)
marketing,product-lifecycle,medium,A product in the Growth stage is facing rapidly increasing competition. Which combination of strategies is most appropriate?,During Growth - companies should differentiate their product to stand out from new entrants - invest in brand building - and expand distribution to meet rising demand. Price cutting is premature at this stage.,,,,0,15,"Differentiate the product, build brand preference, and expand distribution","Drastically reduce prices to maintain market share, cut advertising",Harvest the product and prepare to exit the market,Focus solely on new product development and ignore current product
marketing,market-research,medium,A researcher wants to determine if there is a statistically significant relationship between advertising spend and sales revenue across 200 companies. Which research approach is most appropriate?,Quantitative research using correlation or regression analysis is best for identifying statistically significant relationships between numerical variables across large samples.,,,,1,15,A qualitative focus group of marketing managers,Quantitative analysis using correlation or regression on the dataset,An ethnographic observation study,A series of in-depth interviews with 10 executives
marketing,positioning,medium,A brand claims to have 'the longest-lasting battery' compared to all rivals. Which positioning strategy is this?,Positioning against a competitor (or category) highlights a specific advantage over rivals. Here the brand directly challenges competitors on the battery life attribute.,,,,2,15,Positioning by user imagery,Positioning by price and value,Positioning by competitive comparison,Positioning by product class
marketing,distribution-channels,medium,"A manufacturer sells through its own website, through large department stores, and through specialty retailers simultaneously. This is an example of:",Multi-channel distribution (or omnichannel) involves using multiple distribution channels simultaneously to reach consumers wherever they prefer to shop.,,,,3,15,Exclusive distribution,Selective distribution,Intensive distribution,Multi-channel distribution
marketing,4ps,medium,A SaaS company bundles three software tools together and charges a single price lower than buying each separately. Which pricing and product strategy is being used?,Product bundling combines multiple products into one offer at a lower combined price - encouraging customers to buy more items and increasing overall transaction value.,,,,0,15,Product bundling with bundle pricing,Price skimming with product line extensions,Penetration pricing with a single product,Cost-plus pricing with product differentiation
marketing,swot,medium,"A retailer's SWOT analysis reveals: strong brand recognition (S), aging IT infrastructure (W), growing e-commerce market (O), and rising shipping costs (T). Which strategic move best matches strengths to opportunities?",The SO (Strengths-Opportunities) strategy in SWOT analysis uses internal strengths to exploit external opportunities. Leveraging brand recognition to launch an e-commerce store matches S with O.,,,,1,15,Invest heavily in upgrading IT infrastructure to address the weakness,Use strong brand recognition to launch a premium e-commerce store,Lower prices to counter the threat of rising shipping costs,Exit the physical retail market entirely
marketing,customer-lifetime-value,medium,"A customer makes an average purchase of \$80, buys 4 times per year, and remains a customer for 5 years. What is their Customer Lifetime Value?",CLV = Average Purchase Value x Purchase Frequency x Customer Lifespan = \$80 x 4 x 5 = \$1600.,,,,2,15,\$400,\$800,\$1600,\$3200
marketing,promotion-mix,medium,"A company uses free product samples, in-store demonstrations, and a limited-time 'buy one get one' offer simultaneously. Which element of the promotion mix is being used?",All of these tactics - free samples - demonstrations - and BOGO offers - are sales promotions: short-term incentives designed to stimulate immediate purchase.,,,,3,15,Public relations,Direct marketing,Personal selling,Sales promotion
marketing,ansoff-matrix,medium,"Which Ansoff quadrant involves both a new product AND a new market, making it the highest-risk growth strategy?",Diversification requires a company to develop new products AND enter new markets simultaneously - with no existing expertise in either - making it the riskiest of the four Ansoff strategies.,,,,0,15,Diversification,Market development,Product development,Market penetration
marketing,segmentation,medium,"A B2B software company segments its market by company size, industry vertical, and annual revenue. This is an example of:",Firmographic segmentation divides business markets by organizational characteristics such as company size - industry - location - and revenue - analogous to demographic segmentation for consumers.,,,,1,15,Demographic segmentation,Firmographic segmentation,Psychographic segmentation,Behavioral segmentation
marketing,pricing-strategy,medium,"A pharmaceutical company charges \$500 per unit during the first year of a new drug's patent, then lowers prices as generics emerge. What pricing strategy is this?",Price skimming recovers development costs by setting a high initial price to capture high willingness-to-pay customers - then reducing price over time as competition increases.,,,,2,15,Penetration pricing,Psychological pricing,Price skimming,Value-based pricing
